"Name","ShortName","ModeAndPID","Equation","Min Value","Max Value","Units","OBD Header"
"EGR valve","EGRvalve","2152","INT16(Y:Z)*0.0015259021896696422","0.0","100.0","percent","7E0"
"Fuel rail pressure","Fuelrailpres","2153","SIGNED16(INT16(C:D))*10.0","-327680.0","327670.0","kpa","7E0"
"Fuel temperature","Fueltemperat","2153","INT16(G:H)*0.02-40.0","-40.0","1270.7","celsius","7E0"
"Fuel flow actuator","Fuelflowactu","2153","INT16(J:K)*0.0015259021896696422","0.0","100.0","percent","7E0"
"Total injected fuel","Totalinjecte","2153","INT16(P:Q)*0.0029999999999999996","0.0","196.605","","7E0"
"DPF diff. pressure","DPFdiffpress","2155","INT16(C:D)*0.1","0.0","6553.5","kpa","7E0"
"Inlet DPF EGT","InletDPFEGT","2155","INT16(G:H)*0.1-40.0","-40.0","6513.5","celsius","7E0"
"DPF flow resistance","DPFflowresis","2155","INT16(I:J)*2.0-0.65535","-0.6553","131069.3446","","7E0"
"Distance from DPF light on","Distancefrom","2155","INT16(L:M)","0.0","65535.0","km","7E0"
"APP sensor 1 (engine)","APPsensor1","2170","L*0.0196078431372549","0.0","5.0","volt","7E0"
"APP sensor 2 (engine)","APPsensor2","2170","M*0.0196078431372549","0.0","5.0","volt","7E0"
"IAT-1 (engine)","IAT1","2170","O-40.0","-40.0","215.0","celsius","7E0"
"IAT-2 (engine)","IAT2","2170","P-40.0","-40.0","215.0","celsius","7E0"
"MAF (engine)","MAF","2170","INT16(Q:R)*0.01","0.0","655.35","gPerS","7E0"
"MAP","MAP","2170","V*2.0","0.0","510.0","kpa","7E0"
"Distance from DPF light on (engine)","Distancefrom","2171","INT16(T:U)","0.0","65535.0","km","7E0"
"Battery ambient temperature","Batteryambie","2190","A-40.0","-40.0","215.0","celsius","7E0"
"Battery voltage","Batteryvolta","2190","INT16(B:C)*0.016276371404592965","0.0","1066.672","volt","7E0"
"Battery current","Batterycurre","2190","INT16(D:E)*0.1-300.0","-300.0","6253.5","A","7E0"
"Brake booster pressure","Brakebooster","2190","H*0.4","0.0","102.0","kpa","7E0"
"Master cylinder pressure (engine)","Mastercylind","2190","INT16(I:J)","0.0","65535.0","kpa","7E0"
"Brake store","Brakestore","2190","INT16(K:L)*0.09765624475471123","0.0","6399.902","percent","7E0"
"AT/CVT fluid temperature","ATCVTfluidte","2190","M-40.0","-40.0","215.0","celsius","7E0"
"Slope range","Sloperange","2190","INT16(N:O)*0.01-163.84","-163.84","491.51","percent","7E0"
"Battery temperature","Batterytempe","2190","P-40.0","-40.0","215.0","celsius","7E0"
"ISG restart count","ISGrestartco","2190","INT16(Q:R)*5.0","0.0","327675.0","","7E0"
"Backup start count by starting motor","Backupstartc","2190","S","0.0","255.0","","7E0"
"Brake stroke sensor voltage","Brakestrokes","2190","T*0.019529411764705885","0.0","4.98","volt","7E0"
"Outside air temperature","Outsideairte","2108","W*0.5-40.0","-40.0","87.5","celsius","272"
"Cabin air temperature","Cabinairtemp","2108","X*0.5-40.0","-40.0","87.5","celsius","272"
"Sun load sensor","Sunloadsenso","2108","Y*17.44235294117647","0.0","4447.8","","272"
"Evaporator temperature","Evaporatorte","2108","Z*0.5-40.0","-40.0","87.5","celsius","272"
"Fan switch","Fanswitch","2108","J","0.0","255.0","","272"
"Outside air temperature (hvac)","Outsideairte","2108","W*0.5-40.0","-40.0","87.5","celsius","272"
"Cabin air temperature (hvac)","Cabinairtemp","2108","X*0.5-40.0","-40.0","87.5","celsius","272"
"Sun load sensor (hvac)","Sunloadsenso","2108","Y*5.0","0.0","1275.0","","272"
"Evaporator temperature (hvac)","Evaporatorte","2108","Z*0.5-40.0","-40.0","87.5","celsius","272"
"ISG rotation speed","ISGrotations","2101","SIGNED16(INT16(G:H))","-32768.0","32767.0","rpm","715"
"Sensor power supply","Sensorpowers","2108","I*0.02431372549019608","0.0","6.2","volt","263"
"Sensor (main) torque","Sensormainto","2108","J*0.15313725490196078-19.6","-19.6","19.45","Nm","263"
"Sensor (sub) torque","Sensorsubtor","2108","K*0.15313725490196078-19.6","-19.6","19.45","Nm","263"
"Control torque","Controltorqu","2108","L*0.06125-7.84","-7.84","7.7788","Nm","263"
"Target motor current","Targetmotorc","2108","M*0.2","0.0","51.0","A","263"
"Measure motor current","Measuremotor","2108","N*0.2","0.0","51.0","A","263"
"Motor drive voltage (+)","Motordrivevo","2108","Z*0.11701960784313725-5.0","-5.0","24.84","volt","263"
"Sensor power supply (ps)","Sensorpowers","2108","I*0.0784313725490196","0.0","20.0","volt","263"
"Sensor (main) torque (ps)","Sensormainto","2108","J*0.16862745098039217-21.58","-21.58","21.42","Nm","263"
"Sensor (sub) torque (ps)","Sensorsubtor","2108","K*0.16862745098039217-21.58","-21.58","21.42","Nm","263"
"Control torque (ps)","Controltorqu","2108","L*0.05617254901960785-7.19","-7.19","7.134","Nm","263"
"Target motor current (ps)","Targetmotorc","2108","M*0.5","0.0","127.5","A","263"
"Measure motor current (ps)","Measuremotor","2108","N*0.5","0.0","127.5","A","263"
"Air temperature #1","Airtemperatu","2100","P-50.0","-50.0","205.0","celsius","798"
"Air pressure #1","Airpressure1","2100","Q*0.0137","0.0","3.4935","tireBar","798"
"Air temperature #2","Airtemperatu","2100","Z-50.0","-50.0","205.0","celsius","798"
"TPS acceleration #1","TPSaccelerat","2100","R*0.5","0.0","127.5","G","798"
